radius_km,mass_density_g_cm3,vp_km_s,vs_km_s,phi_km2_s2,bulk_modulus_GPa,lambda_GPa,mu_GPa,poisson_ratio,gravity_m_s2,pressure_GPa,depth_km,radius_fraction,electron_fraction,electron_density_mol_cm3,neutron_density_mol_cm3
0.0,13.089,11.262,3.668,108.9,1425.3,1308.0,176.1,0.4407,0.0,,6371.0,0.0,0.467,6.112563000000001,6.976436999999999
100.0,13.086,11.261,3.667,108.88,1424.8,1307.5,175.9,0.4407,0.366,363.845,6271.0,0.01569612305760477,0.467,6.111162,6.974837999999999
200.0,13.08,11.256,3.663,108.8,1423.1,1306.1,175.5,0.4408,0.732,363.127,6171.0,0.03139224611520954,0.467,6.10836,6.971639999999999
300.0,13.069,11.248,3.658,108.68,1420.3,1303.7,174.9,0.4409,1.097,361.932,6071.0,0.047088369172814316,0.467,6.103223000000001,6.965776999999999
400.0,13.054,11.237,3.65,108.51,1416.4,1300.5,173.9,0.441,1.461,360.261,5971.0,0.06278449223041908,0.467,6.096218,6.957781999999999
500.0,13.034,11.223,3.64,108.29,1411.4,1296.2,172.7,0.4412,1.825,358.118,5871.0,0.07848061528802386,0.467,6.0868780000000005,6.947121999999999
600.0,13.01,11.206,3.628,108.02,1405.3,1291.1,171.3,0.4414,2.188,355.505,5771.0,0.09417673834562863,0.467,6.075670000000001,6.934329999999999
700.0,12.982,11.185,3.614,107.7,1398.1,1285.1,169.6,0.4417,2.549,352.427,5671.0,0.10987286140323341,0.467,6.062594,6.919405999999999
800.0,12.949,11.162,3.598,107.33,1389.8,1278.1,167.6,0.442,2.909,348.889,5571.0,0.12556898446083817,0.467,6.047183,6.9018169999999985
900.0,12.912,11.135,3.579,106.91,1380.5,1270.2,165.4,0.4424,3.267,344.897,5471.0,0.14126510751844296,0.467,6.029904000000001,6.882096
1000.0,12.871,11.105,3.558,106.45,1370.1,1261.4,163.0,0.4428,3.623,340.456,5371.0,0.15696123057604772,0.467,6.010757000000001,6.860242999999999
1100.0,12.825,11.072,3.535,105.94,1358.6,1251.8,160.3,0.4432,3.976,335.574,5271.0,0.17265735363365248,0.467,5.989275,6.835724999999998
1200.0,12.775,11.036,3.51,105.38,1346.2,1241.2,157.4,0.4437,4.328,330.259,5171.0,0.18835347669125727,0.467,5.965925,6.809074999999999
1221.5,12.764,11.028,3.504,105.25,1343.4,1238.9,156.7,0.4438,4.403,329.06,5149.5,0.19172814314864228,0.467,5.960788,6.8032119999999985
1221.5,12.166,10.356,0.0,107.24,1304.7,1304.7,0.0,0.5,4.403,329.06,5149.5,0.19172814314864228,0.467,5.681522,6.484477999999999
1300.0,12.125,10.31,0.0,106.29,1288.8,1288.8,0.0,0.5,4.64,324.75,5071.0,0.20404959974886203,0.467,5.662375,6.462624999999999
1400.0,12.069,10.25,0.0,105.05,1267.9,1267.9,0.0,0.5,4.944,318.953,4971.0,0.21974572280646681,0.467,5.636223000000001,6.432777
1500.0,12.01,10.187,0.0,103.78,1246.4,1246.4,0.0,0.5,5.251,312.816,4871.0,0.23544184586407158,0.467,5.60867,6.401329999999999
1600.0,11.947,10.123,0.0,102.47,1224.2,1224.2,0.0,0.5,5.558,306.342,4771.0,0.25113796892167634,0.467,5.579249,6.367750999999998
1700.0,11.88,10.056,0.0,101.12,1201.3,1201.3,0.0,0.5,5.865,299.537,4671.0,0.2668340919792811,0.467,5.547960000000001,6.332039999999999
1800.0,11.809,9.986,0.0,99.71,1177.5,1177.5,0.0,0.5,6.171,292.409,4571.0,0.2825302150368859,0.467,5.514803,6.294196999999999
1900.0,11.734,9.912,0.0,98.25,1152.9,1152.9,0.0,0.5,6.474,284.966,4471.0,0.2982263380944907,0.467,5.4797780000000005,6.254221999999999
2000.0,11.655,9.835,0.0,96.73,1127.3,1127.3,0.0,0.5,6.776,277.218,4371.0,0.31392246115209543,0.467,5.442885,6.212114999999999
2100.0,11.571,9.754,0.0,95.14,1100.9,1100.9,0.0,0.5,7.074,269.176,4271.0,0.3296185842097002,0.467,5.403657,6.167342999999999
2200.0,11.483,9.669,0.0,93.48,1073.5,1073.5,0.0,0.5,7.369,260.851,4171.0,0.34531470726730495,0.467,5.362561,6.120438999999999
2300.0,11.39,9.579,0.0,91.75,1045.1,1045.1,0.0,0.5,7.66,252.256,4071.0,0.36101083032490977,0.467,5.31913,6.070869999999999
2400.0,11.293,9.484,0.0,89.95,1015.8,1015.8,0.0,0.5,7.947,243.405,3971.0,0.37670695338251453,0.467,5.273831,6.019168999999999
2500.0,11.191,9.384,0.0,88.06,985.5,985.5,0.0,0.5,8.23,234.311,3871.0,0.3924030764401193,0.467,5.226197000000001,5.964803
2600.0,11.083,9.279,0.0,86.1,954.2,954.2,0.0,0.5,8.508,224.99,3771.0,0.40809919949772405,0.467,5.1757610000000005,5.907238999999999
2700.0,10.971,9.168,0.0,84.04,922.0,922.0,0.0,0.5,8.78,215.458,3671.0,0.4237953225553288,0.467,5.123457,5.847542999999999
2800.0,10.853,9.05,0.0,81.91,888.9,888.9,0.0,0.5,9.047,205.731,3571.0,0.43949144561293363,0.467,5.068351,5.784648999999999
2900.0,10.73,8.926,0.0,79.68,855.0,855.0,0.0,0.5,9.308,195.826,3471.0,0.4551875686705384,0.467,5.010910000000001,5.71909
3000.0,10.602,8.796,0.0,77.37,820.2,820.2,0.0,0.5,9.563,185.761,3371.0,0.47088369172814315,0.467,4.951134000000001,5.650866
3100.0,10.467,8.658,0.0,74.96,784.7,784.7,0.0,0.5,9.811,175.556,3271.0,0.4865798147857479,0.467,4.888089000000001,5.578911
3200.0,10.327,8.513,0.0,72.47,748.4,748.4,0.0,0.5,10.053,165.229,3171.0,0.5022759378433527,0.467,4.822709000000001,5.504290999999999
3300.0,10.181,8.36,0.0,69.89,711.6,711.6,0.0,0.5,10.287,154.799,3071.0,0.5179720609009575,0.467,4.7545269999999995,5.426472999999999
3400.0,10.029,8.199,0.0,67.23,674.3,674.3,0.0,0.5,10.513,144.289,2971.0,0.5336681839585622,0.467,4.683543,5.345456999999999
3480.0,9.903,8.065,0.0,65.04,644.1,644.1,0.0,0.5,10.689,135.836,2891.0,0.5462250824046461,0.495,4.901985,5.001015000000001
3480.0,5.566,13.717,7.265,117.78,655.6,459.8,293.8,0.3051,10.689,135.836,2891.0,0.5462250824046461,0.495,2.7551699999999997,2.81083
3500.0,5.556,13.712,7.265,117.64,653.7,458.2,293.3,0.3049,10.66,134.648,2871.0,0.549364307016167,0.495,2.75022,2.80578
3600.0,5.506,13.688,7.266,116.96,644.0,450.2,290.7,0.3038,10.527,128.789,2771.0,0.5650604300737718,0.495,2.72547,2.78053
3700.0,5.457,13.596,7.234,115.08,627.9,437.6,285.5,0.3026,10.413,123.051,2671.0,0.5807565531313765,0.495,2.701215,2.755785
3800.0,5.407,13.477,7.189,112.73,609.5,423.3,279.4,0.3012,10.316,117.422,2571.0,0.5964526761889813,0.495,2.676465,2.730535
3900.0,5.357,13.361,7.144,110.46,591.7,409.4,273.4,0.2998,10.234,111.892,2471.0,0.612148799246586,0.495,2.6517150000000003,2.705285
4000.0,5.307,13.245,7.1,108.23,574.4,396.1,267.5,0.2984,10.165,106.455,2371.0,0.6278449223041909,0.495,2.626965,2.680035
4100.0,5.257,13.131,7.055,106.04,557.5,383.0,261.7,0.2971,10.107,101.101,2271.0,0.6435410453617957,0.495,2.6022149999999997,2.654785
4200.0,5.207,13.016,7.01,103.88,540.9,370.3,255.9,0.2957,10.06,95.825,2171.0,0.6592371684194004,0.495,2.577465,2.6295349999999997
4300.0,5.157,12.9,6.965,101.73,524.6,357.8,250.2,0.2943,10.022,90.623,2071.0,0.6749332914770052,0.495,2.552715,2.604285
4400.0,5.106,12.784,6.92,99.59,508.5,345.5,244.5,0.2928,9.992,85.488,1971.0,0.6906294145346099,0.495,2.52747,2.5785299999999998
4500.0,5.055,12.666,6.873,97.43,492.5,333.3,238.8,0.2913,9.97,80.417,1871.0,0.7063255375922147,0.495,2.5022249999999997,2.552775
4600.0,5.003,12.545,6.825,95.26,476.6,321.2,233.0,0.2898,9.954,75.408,1771.0,0.7220216606498195,0.495,2.476485,2.5265150000000003
4700.0,4.951,12.421,6.776,93.06,460.7,309.2,227.3,0.2881,9.943,70.457,1671.0,0.7377177837074242,0.495,2.450745,2.5002549999999997
4800.0,4.898,12.293,6.725,90.81,444.8,297.1,221.5,0.2864,9.938,65.562,1571.0,0.7534139067650291,0.495,2.4245099999999997,2.47349
4900.0,4.844,12.161,6.673,88.52,428.8,285.0,215.7,0.2846,9.936,60.722,1471.0,0.7691100298226338,0.495,2.39778,2.4462200000000003
5000.0,4.79,12.024,6.619,86.18,412.8,272.9,209.8,0.2826,9.939,55.935,1371.0,0.7848061528802386,0.495,2.37105,2.41895
5100.0,4.735,11.882,6.562,83.76,396.6,260.7,203.9,0.2805,9.945,51.2,1271.0,0.8005022759378434,0.495,2.3438250000000003,2.391175
5200.0,4.678,11.734,6.504,81.28,380.3,248.3,197.9,0.2783,9.953,46.518,1171.0,0.8161983989954481,0.495,2.31561,2.36239
5300.0,4.621,11.578,6.442,78.72,363.8,235.9,191.8,0.2758,9.964,41.887,1071.0,0.8318945220530529,0.495,2.287395,2.3336050000000004
5400.0,4.563,11.416,6.378,76.08,347.1,223.4,185.6,0.2731,9.976,37.309,971.0,0.8475906451106576,0.495,2.258685,2.304315
5500.0,4.504,11.245,6.311,73.35,330.3,210.8,179.4,0.2701,9.99,32.783,871.0,0.8632867681682624,0.495,2.2294799999999997,2.27452
5700.0,4.381,10.754,5.948,68.49,300.1,196.7,155.0,0.2796,10.021,23.893,671.0,0.894679014283472,0.495,2.1685950000000003,2.212405
5701.0,4.381,10.751,5.945,68.46,299.9,196.7,154.8,0.2798,10.021,23.849,670.0,0.894835975514048,0.495,2.1685950000000003,2.212405
5701.0,3.992,10.266,5.57,64.02,255.6,173.0,123.9,0.2914,10.021,23.849,670.0,0.894835975514048,0.495,1.97604,2.01596
5800.0,3.939,10.009,5.431,60.85,239.7,162.3,116.2,0.2913,10.006,19.907,571.0,0.9103751373410768,0.495,1.949805,1.989195
5900.0,3.813,9.497,5.14,54.98,209.7,142.5,100.7,0.2929,9.989,16.032,471.0,0.9260712603986815,0.495,1.887435,1.9255650000000002
5971.0,3.724,9.134,4.932,50.99,189.9,129.5,90.6,0.2942,9.975,13.361,400.0,0.937215507769581,0.495,1.84338,1.8806200000000002
5971.0,3.543,8.905,4.77,48.97,173.5,119.8,80.6,0.2988,9.975,13.361,400.0,0.937215507769581,0.495,1.7537850000000001,1.789215
6000.0,3.526,8.849,4.75,48.23,170.1,117.0,79.5,0.2977,9.964,12.339,371.0,0.9417673834562863,0.495,1.7453699999999999,1.78063
6100.0,3.466,8.657,4.68,45.75,158.6,108.0,75.9,0.2936,9.929,8.861,271.0,0.9574635065138911,0.495,1.71567,1.7503300000000002
6151.0,3.436,8.559,4.644,44.5,152.9,103.5,74.1,0.2914,9.911,7.116,220.0,0.9654685292732695,0.495,1.70082,1.73518
6151.0,3.359,7.99,4.419,37.8,127.0,83.3,65.6,0.2796,9.911,7.116,220.0,0.9654685292732695,0.495,1.6627049999999999,1.696295
6200.0,3.365,8.02,4.437,38.07,128.1,83.9,66.2,0.2795,9.892,5.484,171.0,0.9731596295714958,0.495,1.665675,1.6993250000000002
6300.0,3.376,8.082,4.474,38.63,130.4,85.4,67.6,0.2791,9.859,2.156,71.0,0.9888557526291006,0.495,1.67112,1.70488
6346.6,3.381,8.111,4.491,38.89,131.5,86.0,68.2,0.2789,9.846,0.605,24.4,0.9961701459739445,0.495,1.673595,1.7074049999999998
6346.6,2.9,6.8,3.9,25.96,75.3,45.9,44.1,0.2549,9.846,0.605,24.4,0.9961701459739445,0.495,1.4355,1.4645
6356.0,2.9,6.8,3.9,25.96,75.3,45.9,44.1,0.2549,9.839,0.337,15.0,0.9976455815413593,0.495,1.4355,1.4645
6356.0,2.6,5.8,3.2,19.99,52.0,34.2,26.6,0.2812,9.839,0.337,15.0,0.9976455815413593,0.495,1.287,1.3130000000000002
6368.0,2.6,5.8,3.2,19.99,52.0,34.2,26.6,0.2812,9.828,0.03,3.0,0.9995291163082719,0.495,1.287,1.3130000000000002
6368.0,1.02,1.45,0.0,2.1,2.1,2.1,0.0,0.5,9.828,0.03,3.0,0.9995291163082719,0.495,0.5049,0.5151
6371.0,1.02,1.45,0.0,2.1,2.1,2.1,0.0,0.5,9.822,0.0,0.0,1.0,0.5556,0.566712,0.453288
