energy_MeV,spectrum,uncertainty
0.0,0.0,0.0
0.1,0.00021400190461695105,2.000017800158421e-05
0.2,0.0007630067907604376,4.300038270340605e-05
0.3,0.0015130134658198455,1.3000115701029736e-05
0.4,0.002507022312498581,2.1000186901663422e-05
0.5,0.0037630334909980693,3.1000275902455526e-05
0.6,0.005239046627514983,4.1000364903247633e-05
0.7,0.006914061535147661,5.3000471704198157e-05
0.8,0.008772078071494835,6.500057850514869e-05
0.9,0.010798096103055314,7.700068530609921e-05
1.0,0.012976115487427836,9.100080990720816e-05
1.1,0.015292136100011287,0.00010400092560823789
1.2,0.0177351578429048,0.00011800105020934684
1.3,0.020292180600407342,0.0001320011748104558
1.4,0.02295020425681788,0.00014500129051148552
1.5,0.025699228723135632,0.00015800140621251527
1.6,0.028528253901459716,0.0001720015308136242
1.7,0.03142727970278935,0.00018400163761457473
1.8,0.03438630603812374,0.00019700175331560448
1.9,0.03739533281846208,0.00020800185121647578
2.0,0.04044735998150383,0.0002190019491173471
2.1,0.04353138742934811,0.00023000204701821843
2.2,0.04664041509969438,0.00024000213601901052
2.3,0.04976744293024207,0.0002490022161197234
2.4,0.05290347084089047,0.0002580022962204363
2.5,0.05604149876933903,0.00026600236742107
2.6,0.0591745266532872,0.0002730024297216245
2.7,0.062296554439334496,0.00027900248312209976
2.8,0.06540158207408045,0.000285002536522575
2.9,0.0684826094952245,0.0002890025721228918
3.0,0.07153363664936617,0.00029300260772320867
3.1,0.07454966349200508,0.0002960026344234463
3.2,0.07752668998754086,0.00029900266112368394
3.3,0.08045671606477296,0.00030100267892384236
3.4,0.08333774170590116,0.00030100267892384236
3.5,0.0861647668664251,0.00030200268782392157
3.6,0.08893179149294426,0.00030100267892384236
3.7,0.09163581555875847,0.00030000267002376315
3.8,0.09427283902826734,0.0002980026522236047
3.9,0.09683986187477067,0.0002960026344234463
4.0,0.09933188405376807,0.00029200259882312946
4.1,0.10174690554745935,0.0002880025632228126
4.2,0.10408192632914431,0.00028400252762249577
4.3,0.1063329463632226,0.00027800247422202055
4.4,0.10849796563189411,0.0002730024297216245
4.5,0.11057498411735862,0.00026600236742107
4.6,0.11256100179291594,0.00025900230512051553
4.7,0.1144530186318658,0.00025200224281996106
4.8,0.11625103463420822,0.00024400217161932736
4.9,0.11795204977324296,0.00023600210041869367
5.0,0.11955406403116985,0.0002270020203179808
5.1,0.1210570774079889,0.0002180019402172679
5.2,0.12245808987699988,0.000209001860116555
5.3,0.1237561014293027,0.0001990017711157629
5.4,0.12495211207379743,0.0001890016821149708
5.5,0.12604312178378385,0.00017900159311417868
5.6,0.12702913055926196,0.00016800149521330738
5.7,0.12791013840023174,0.00015700139731243605
5.8,0.12868414528889305,0.00014600129941156473
5.9,0.12935215123414595,0.00013500120151069343
6.0,0.12991515624489056,0.0001240011036098221
6.1,0.1303701602944266,0.00011300100570895079
6.2,0.1307201634094543,0.00010200090780807947
6.3,0.13096416558107363,9.100080990720816e-05
6.4,0.13110216680928458,7.400065860586158e-05
6.5,0.13113516710298717,5.7000507304515e-05
6.6,0.13106416647108154,4.000035600316842e-05
6.7,0.13088916491356772,2.3000204701821842e-05
6.8,0.13061216244824575,7.000062300554474e-06
6.9,0.13023315907511573,-1.0000089000792106e-05
7.0,0.12975315480307772,-2.7000240302138684e-05
7.1,0.12917514965883195,-3.900034710308921e-05
7.2,0.12849814363347833,-5.1000453904039734e-05
7.3,0.12772513675371708,-6.300056070499026e-05
7.4,0.1268571290284483,-7.500066750594079e-05
7.5,0.12589612047547222,-8.700077430689131e-05
7.6,0.12484411111258888,-9.700086330768342e-05
7.7,0.1237021009486984,-0.00010800096120855474
7.8,0.12247209000160099,-0.00011800105020934684
7.9,0.12115707829799684,-0.00012800113921013895
8.0,0.11975906585568609,-0.00013800122821093106
8.1,0.11827905268356886,-0.00014800131721172315
8.2,0.11672103881724545,-0.00015800140621251527
8.3,0.11508702427451602,-0.00016600147741314896
8.4,0.11337900907318073,-0.00017500155751386183
8.5,0.11159999323993981,-0.00018500164651465395
8.6,0.10975197679259344,-0.00019300171771528764
8.7,0.1078389597667419,-0.00020000178001584212
8.8,0.10586294218018538,-0.00020800185121647578
8.9,0.10382792406852419,-0.00021500191351703026
9.0,0.1017349054406584,-0.00022200197581758474
9.1,0.09958788633218835,-0.00022800202921806
9.2,0.09739086677871431,-0.00023400208261853528
9.3,0.09514684680693657,-0.0002390021271189313
9.4,0.09285782643465525,-0.00024400217161932736
9.5,0.09052880570637077,-0.0002480022072196442
9.6,0.08816178463988328,-0.00025200224281996106
9.7,0.08575976326189301,-0.0002550022695201987
9.8,0.08332874162580045,-0.0002580022962204363
9.9,0.08086971974050568,-0.00026100232292067396
10.0,0.07838769765050907,-0.0002630023407208324
10.1,0.0758856753825109,-0.0002640023496209116
10.2,0.07336865298101151,-0.0002650023585209908
10.3,0.07083763045491104,-0.0002650023585209908
10.4,0.06829860785760992,-0.0002650023585209908
10.5,0.06575458521580842,-0.0002640023496209116
10.6,0.06320956256510682,-0.0002630023407208324
10.7,0.060667539941105464,-0.00026200233182075317
10.8,0.058131517370504586,-0.00025900230512051553
10.9,0.05560649489780458,-0.0002570022873203571
11.0,0.05309547254970568,-0.0002540022606201195
11.1,0.05060245036180821,-0.00025100223391988184
11.2,0.04813142836971248,-0.000247002198319565
11.3,0.04568640660901881,-0.00024200215381916894
11.4,0.04327138511532752,-0.0002380021182188521
11.5,0.040889363915338844,-0.00023300207371845607
11.6,0.03854534305355317,-0.0002270020203179808
11.7,0.036242322556670745,-0.00022200197581758474
11.8,0.03398430246029189,-0.00021500191351703026
11.9,0.03177428279111683,-0.000209001860116555
12.0,0.029616263584745898,-0.00020200179781600054
12.1,0.02751524488567948,-0.00019500173551544606
12.2,0.025472226702817652,-0.00018800167321489158
12.3,0.02349320908956089,-0.0001810016109143371
12.4,0.021579192054809286,-0.0001730015397137034
12.5,0.019735175643063218,-0.00016500146851306974
12.6,0.01796315987212286,-0.00015700139731243605
12.7,0.016266144768688436,-0.00014900132611180236
12.8,0.014647130359460197,-0.0001400012460110895
12.9,0.013110116680038449,-0.0001320011748104558
13.0,0.011655103730423198,-0.0001230010947097429
13.1,0.010286091546214758,-0.00011500102350910922
13.2,0.009005080145213291,-0.00010600094340839631
13.3,0.007813069536318872,-9.700086330768342e-05
13.4,0.00671205973733166,-8.800078320697052e-05
13.5,0.0057030507571517374,-8.000071200633684e-05
13.6,0.004787042604679181,-7.100063190562394e-05
13.7,0.0039650352888140694,-6.200055180491105e-05
13.8,0.0032370288095564044,-5.400048060427737e-05
13.9,0.0026020231580061058,-4.6000409403643684e-05
14.0,0.002058018316363015,-3.800033820301e-05
14.1,0.0016020142579268952,-3.1000275902455526e-05
14.2,0.0012280109292972705,-2.4000213601901053e-05
14.3,0.0009290082681735866,-1.9000169101505e-05
14.4,0.0006940061766549721,-1.4000124601108948e-05
14.5,0.000513004565740635,-1.1000097900871315e-05
14.6,0.00037600334642978316,-8.000071200633684e-06
14.7,0.0002730024297216245,-6.000053400475263e-06
14.8,0.00019600174441552527,-4.000035600316842e-06
14.9,0.0001400012460110895,-3.0000267002376317e-06
15.0,9.900088110784185e-05,-2.000017800158421e-06
15.1,6.900061410546553e-05,-2.000017800158421e-06
15.2,4.7000418303722895e-05,-1.0000089000792106e-06
15.3,0.0,0.0
15.4,0.0,0.0
15.5,0.0,0.0
15.6,0.0,0.0
15.7,0.0,0.0
15.8,0.0,0.0
15.9,0.0,0.0
16.0,0.0,0.0
16.1,0.0,0.0
16.2,0.0,0.0
16.3,0.0,0.0
16.4,0.0,0.0
16.5,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.8,0.0,0.0
16.9,0.0,0.0
17.0,0.0,0.0
17.1,0.0,0.0
17.2,0.0,0.0
17.3,0.0,0.0
17.4,0.0,0.0
17.5,0.0,0.0
17.6,0.0,0.0
17.7,0.0,0.0
17.8,0.0,0.0
17.9,0.0,0.0
18.0,0.0,0.0
18.1,0.0,0.0
18.2,0.0,0.0
18.3,0.0,0.0
18.4,0.0,0.0
18.5,0.0,0.0
18.6,0.0,0.0
18.7,0.0,0.0
18.8,0.0,0.0
18.9,0.0,0.0
19.0,0.0,0.0
19.1,0.0,0.0
19.2,0.0,0.0
19.3,0.0,0.0
19.4,0.0,0.0
19.5,0.0,0.0
19.6,0.0,0.0
19.7,0.0,0.0
19.8,0.0,0.0
19.9,0.0,0.0
20.0,0.0,0.0
