cos_zenith,livetime_s
-0.9979166666666667,0.0
-0.99375,0.0
-0.9895833333333334,0.0
-0.9854166666666667,0.0
-0.98125,0.0
-0.9770833333333333,0.0
-0.9729166666666667,0.0
-0.96875,0.0
-0.9645833333333333,0.0
-0.9604166666666667,0.0
-0.95625,0.0
-0.9520833333333333,0.0
-0.9479166666666666,0.0
-0.94375,0.0
-0.9395833333333333,0.0
-0.9354166666666667,0.0
-0.93125,0.0
-0.9270833333333334,0.0
-0.9229166666666666,0.0
-0.91875,84533.33
-0.9145833333333333,97593.33
-0.9104166666666667,86614.2
-0.90625,75566.42
-0.9020833333333333,79532.3
-0.8979166666666667,77045.07
-0.89375,81880.93
-0.8895833333333334,85593.41
-0.8854166666666666,80641.81
-0.88125,84675.29
-0.8770833333333333,79656.66
-0.8729166666666667,72727.22
-0.86875,72032.57
-0.8645833333333334,76068.43
-0.8604166666666666,81562.41
-0.85625,84678.54
-0.8520833333333333,80041.36
-0.8479166666666667,71661.5
-0.84375,68868.23
-0.8395833333333333,68064.79
-0.8354166666666667,63073.4
-0.83125,65690.94
-0.8270833333333334,64269.88
-0.8229166666666666,64671.51
-0.81875,65497.02
-0.8145833333333333,65543.83
-0.8104166666666667,66562.79
-0.80625,62863.5
-0.8020833333333334,62216.66
-0.7979166666666666,62557.04
-0.79375,63826.41
-0.7895833333333333,66604.71
-0.7854166666666667,64183.09
-0.78125,64576.03
-0.7770833333333333,65123.99
-0.7729166666666667,64859.73
-0.76875,64058.89
-0.7645833333333334,66499.73
-0.7604166666666666,68018.73
-0.75625,69503.3
-0.7520833333333333,67884.5
-0.7479166666666667,66940.01
-0.74375,66881.68
-0.7395833333333333,67582.49
-0.7354166666666666,68785.34
-0.73125,67764.55
-0.7270833333333333,64389.93
-0.7229166666666667,66387.95
-0.71875,66300.3
-0.7145833333333333,66037.54
-0.7104166666666667,65925.23
-0.70625,66750.92
-0.7020833333333334,68012.68
-0.6979166666666667,66688.96
-0.69375,66405.37
-0.6895833333333333,67102.45
-0.6854166666666667,66336.7
-0.68125,65337.44
-0.6770833333333333,66537.74
-0.6729166666666666,65395.91
-0.66875,63817.6
-0.6645833333333333,62694.98
-0.6604166666666667,61596.1
-0.65625,61388.55
-0.6520833333333333,63142.58
-0.6479166666666667,63019.42
-0.64375,61704.64
-0.6395833333333334,60329.91
-0.6354166666666667,59583.88
-0.63125,60845.42
-0.6270833333333333,59964.68
-0.6229166666666667,60300.15
-0.61875,59803.61
-0.6145833333333333,59537.41
-0.6104166666666666,61625.99
-0.60625,62733.15
-0.6020833333333333,62959.43
-0.5979166666666667,62982.45
-0.59375,63787.66
-0.5895833333333333,66201.56
-0.5854166666666667,67866.33
-0.58125,68584.96
-0.5770833333333334,65068.79
-0.5729166666666667,67233.3
-0.56875,64686.1
-0.5645833333333333,67244.77
-0.5604166666666667,67248.45
-0.55625,69622.96
-0.5520833333333333,71553.39
-0.5479166666666666,70630.96
-0.54375,72455.7
-0.5395833333333333,72594.23
-0.5354166666666667,71415.52
-0.53125,71318.52
-0.5270833333333333,71358.01
-0.5229166666666667,69312.26
-0.51875,72729.52
-0.5145833333333334,71753.02
-0.5104166666666667,68760.13
-0.50625,67004.47
-0.5020833333333333,67529.37
-0.4979166666666667,66701.97
-0.49375,67285.9
-0.48958333333333337,68590.23
-0.4854166666666667,69383.94
-0.48124999999999996,69906.62
-0.4770833333333333,70594.98
-0.47291666666666665,72027.86
-0.46875,69610.27
-0.46458333333333335,68918.78
-0.4604166666666667,68994.07
-0.45625000000000004,69004.28
-0.4520833333333333,68985.91
-0.44791666666666663,68357.59
-0.44375,71152.03
-0.4395833333333333,69895.1
-0.4354166666666667,69267.49
-0.43125,71743.5
-0.42708333333333337,73458.68
-0.4229166666666667,72150.24
-0.41874999999999996,70592.44
-0.4145833333333333,72060.95
-0.41041666666666665,72246.81
-0.40625,76672.17
-0.40208333333333335,79998.69
-0.3979166666666667,81155.52
-0.39375000000000004,84341.83
-0.3895833333333333,85427.77
-0.38541666666666663,85537.79
-0.38125,86001.1
-0.3770833333333333,84170.44
-0.3729166666666667,82621.84
-0.36875,82383.84
-0.36458333333333337,80350.16
-0.3604166666666667,84034.05
-0.35624999999999996,91947.32
-0.3520833333333333,94835.76
-0.34791666666666665,97317.92
-0.34375,110378.3
-0.33958333333333335,98593.37
-0.3354166666666667,92173.38
-0.33125000000000004,88951.77
-0.3270833333333333,86595.58
-0.32291666666666663,84660.95
-0.31875,82793.54
-0.3145833333333333,81456.33
-0.3104166666666667,80262.84
-0.30625,79041.59
-0.30208333333333337,77823.67
-0.2979166666666667,76724.69
-0.29374999999999996,75893.26
-0.2895833333333333,75053.7
-0.28541666666666665,74714.66
-0.28125,74178.74
-0.27708333333333335,73096.82
-0.2729166666666667,72504.97
-0.26875000000000004,71872.47
-0.2645833333333333,71173.97
-0.26041666666666663,70925.52
-0.25625,70039.62
-0.2520833333333333,69598.54
-0.24791666666666667,68997.95
-0.24375000000000002,68646.09
-0.23958333333333337,68173.02
-0.23541666666666672,68019.66
-0.23124999999999996,67635.93
-0.2270833333333333,67184.9
-0.22291666666666665,66659.48
-0.21875,66500.74
-0.21458333333333335,66303.93
-0.2104166666666667,65949.48
-0.20625000000000004,65782.26
-0.20208333333333328,65350.6
-0.19791666666666663,65399.1
-0.19374999999999998,65637.09
-0.18958333333333333,65446.03
-0.18541666666666667,64818.23
-0.18125000000000002,64797.89
-0.17708333333333337,64800.28
-0.17291666666666672,64601.4
-0.16874999999999996,64476.81
-0.1645833333333333,64349.98
-0.16041666666666665,64489.91
-0.15625,64226.22
-0.15208333333333335,63956.47
-0.1479166666666667,63513.82
-0.14375000000000004,63373.8
-0.13958333333333328,63495.21
-0.13541666666666663,63340.18
-0.13124999999999998,63090.16
-0.12708333333333333,62792.86
-0.12291666666666667,62684.35
-0.11875000000000002,62228.04
-0.11458333333333337,62354.96
-0.11041666666666672,62319.11
-0.10624999999999996,62454.68
-0.1020833333333333,62330.83
-0.09791666666666665,61784.18
-0.09375,61767.18
-0.08958333333333335,61874.2
-0.0854166666666667,61549.47
-0.08125000000000004,61513.18
-0.07708333333333328,61637.83
-0.07291666666666663,61620.56
-0.06874999999999998,61179.25
-0.06458333333333333,61342.76
-0.060416666666666674,61209.52
-0.05625000000000002,60897.05
-0.05208333333333337,60820.14
-0.04791666666666672,60109.34
-0.043749999999999956,60264.41
-0.039583333333333304,60365.65
-0.03541666666666665,60484.48
-0.03125,60201.59
-0.027083333333333348,59894.0
-0.022916666666666696,60171.55
-0.018750000000000044,60055.25
-0.014583333333333282,60159.95
-0.01041666666666663,60156.89
-0.006249999999999978,59953.44
-0.002083333333333326,59716.41
0.002083333333333437,60159.48
0.006250000000000089,60157.9
0.01041666666666674,60234.48
0.014583333333333393,59981.35
0.018750000000000044,60192.39
0.022916666666666696,60250.41
0.027083333333333348,60303.48
0.03125,60448.31
0.03541666666666665,60374.68
0.039583333333333304,60324.01
0.043749999999999956,60375.73
0.04791666666666661,60272.48
0.05208333333333326,60155.11
0.05624999999999991,60531.04
0.06041666666666656,60394.99
0.06458333333333344,60195.88
0.06875000000000009,59620.4
0.07291666666666674,59352.5
0.07708333333333339,59370.32
0.08125000000000004,59585.25
0.0854166666666667,59575.3
0.08958333333333335,59367.36
0.09375,59073.72
0.09791666666666665,58882.82
0.1020833333333333,59243.31
0.10624999999999996,59288.02
0.11041666666666661,58948.56
0.11458333333333326,58954.5
0.11874999999999991,59257.32
0.12291666666666656,59034.95
0.12708333333333344,59083.38
0.1312500000000001,59281.79
0.13541666666666674,59547.59
0.1395833333333334,59799.04
0.14375000000000004,60162.81
0.1479166666666667,60114.32
0.15208333333333335,59583.07
0.15625,59605.48
0.16041666666666665,59491.66
0.1645833333333333,59935.23
0.16874999999999996,59986.53
0.1729166666666666,60121.65
0.17708333333333326,60357.52
0.1812499999999999,60465.19
0.18541666666666656,60541.61
0.18958333333333344,60905.05
0.1937500000000001,61118.3
0.19791666666666674,61107.27
0.2020833333333334,61038.79
0.20625000000000004,61508.05
0.2104166666666667,61546.99
0.21458333333333335,61547.62
0.21875,61706.14
0.22291666666666665,61701.27
0.2270833333333333,61624.77
0.23124999999999996,62144.61
0.2354166666666666,62326.85
0.23958333333333326,62056.93
0.2437499999999999,62596.74
0.24791666666666656,62648.16
0.25208333333333344,62655.7
0.2562500000000001,62806.52
0.26041666666666674,63160.08
0.2645833333333334,63317.9
0.26875000000000004,64031.32
0.2729166666666667,64792.95
0.27708333333333335,65207.07
0.28125,65752.78
0.28541666666666665,66737.2
0.2895833333333333,67193.61
0.29374999999999996,68265.95
0.2979166666666666,69167.7
0.30208333333333326,70034.46
0.3062499999999999,71069.7
0.31041666666666656,72152.85
0.31458333333333344,73329.67
0.3187500000000001,74909.52
0.32291666666666674,77241.68
0.3270833333333334,79539.92
0.33125000000000004,82756.59
0.3354166666666667,88017.92
0.33958333333333335,99021.12
0.34375,121739.2
0.34791666666666665,89277.84
0.3520833333333333,78515.95
0.35624999999999996,66065.66
0.3604166666666666,68601.35
0.36458333333333326,62846.25
0.3687499999999999,59989.86
0.37291666666666656,61566.98
0.37708333333333344,66459.38
0.3812500000000001,63723.37
0.38541666666666674,59033.32
0.3895833333333334,60657.42
0.39375000000000004,64283.69
0.3979166666666667,64612.13
0.40208333333333335,61164.14
0.40625,56770.42
0.41041666666666665,51308.69
0.4145833333333333,53072.36
0.41874999999999996,56323.44
0.4229166666666666,58190.27
0.42708333333333326,56005.26
0.4312499999999999,53765.05
0.43541666666666656,52351.17
0.43958333333333344,51606.84
0.4437500000000001,52845.12
0.44791666666666674,53221.47
0.4520833333333334,53412.16
0.45625000000000004,55313.84
0.4604166666666667,56830.81
0.46458333333333335,53013.16
0.46875,47838.07
0.47291666666666665,43675.86
0.4770833333333333,42474.98
0.48124999999999996,41186.11
0.4854166666666666,39666.04
0.48958333333333326,40520.35
0.4937499999999999,41378.5
0.49791666666666656,42517.52
0.5020833333333334,41348.18
0.5062500000000001,39566.09
0.5104166666666667,41592.6
0.5145833333333334,39813.68
0.51875,40729.54
0.5229166666666667,42001.31
0.5270833333333333,43734.07
0.53125,44741.57
0.5354166666666667,40951.43
0.5395833333333333,40466.54
0.54375,40200.36
0.5479166666666666,42005.69
0.5520833333333333,45166.04
0.5562499999999999,44578.41
0.5604166666666666,45959.6
0.5645833333333334,48257.65
0.5687500000000001,48027.89
0.5729166666666667,47269.43
0.5770833333333334,45325.18
0.58125,45823.05
0.5854166666666667,45573.78
0.5895833333333333,42281.97
0.59375,46222.83
0.5979166666666667,45803.84
0.6020833333333333,46882.55
0.60625,46182.11
0.6104166666666666,42744.34
0.6145833333333333,41460.28
0.6187499999999999,40766.97
0.6229166666666666,40664.09
0.6270833333333334,37794.84
0.6312500000000001,40818.96
0.6354166666666667,39825.29
0.6395833333333334,40105.02
0.64375,39035.45
0.6479166666666667,39014.06
0.6520833333333333,37545.49
0.65625,36553.44
0.6604166666666667,35125.43
0.6645833333333333,34513.82
0.66875,34882.41
0.6729166666666666,34156.55
0.6770833333333333,36379.56
0.6812499999999999,34642.27
0.6854166666666666,33300.05
0.6895833333333334,32057.59
0.6937500000000001,31470.17
0.6979166666666667,28722.06
0.7020833333333334,29699.14
0.70625,31005.69
0.7104166666666667,32534.68
0.7145833333333333,31686.04
0.71875,33545.51
0.7229166666666667,33590.75
0.7270833333333333,32907.48
0.73125,31964.73
0.7354166666666666,32842.52
0.7395833333333333,34557.49
0.7437499999999999,34609.77
0.7479166666666666,34484.57
0.7520833333333334,34879.89
0.7562500000000001,36527.2
0.7604166666666667,38488.16
0.7645833333333334,37494.09
0.76875,35050.48
0.7729166666666667,35148.81
0.7770833333333333,36982.53
0.78125,31821.25
0.7854166666666667,33763.16
0.7895833333333333,31914.01
0.79375,35033.18
0.7979166666666666,38348.48
0.8020833333333333,37335.41
0.8062499999999999,33368.73
0.8104166666666666,32445.89
0.8145833333333334,27420.13
0.8187500000000001,28998.35
0.8229166666666667,33648.66
0.8270833333333334,32459.73
0.83125,29045.29
0.8354166666666667,28530.63
0.8395833333333333,31042.25
0.84375,36630.9
0.8479166666666667,37523.19
0.8520833333333333,34152.77
0.85625,30558.32
0.8604166666666666,30646.48
0.8645833333333333,30777.36
0.8687499999999999,29097.11
0.8729166666666666,29732.82
0.8770833333333334,31460.36
0.8812500000000001,32689.98
0.8854166666666667,31884.92
0.8895833333333334,37457.38
0.89375,42695.23
0.8979166666666667,38338.34
0.9020833333333333,31178.37
0.90625,29230.07
0.9104166666666667,34298.59
0.9145833333333333,38157.72
0.91875,22054.96
0.9229166666666666,0.0
0.9270833333333333,0.0
0.9312499999999999,0.0
0.9354166666666666,0.0
0.9395833333333334,0.0
0.9437500000000001,0.0
0.9479166666666667,0.0
0.9520833333333334,0.0
0.95625,0.0
0.9604166666666667,0.0
0.9645833333333333,0.0
0.96875,0.0
0.9729166666666667,0.0
0.9770833333333333,0.0
0.98125,0.0
0.9854166666666666,0.0
0.9895833333333333,0.0
0.9937499999999999,0.0
0.9979166666666666,0.0
